O,D,cluster,nrOfTrips
1003,1005,2,0
1003,1005,3,0
1003,1005,4,0
1003,1005,5,0
1003,1005,6,0
1003,1006,1,0
1003,1006,2,0
1003,1006,3,0
1003,1006,4,0
1003,1006,5,0
1003,1006,6,0
1003,1007,1,0
1003,1007,2,0
1003,1007,3,0
1003,1007,4,0
1003,1007,5,0
1003,1007,6,0
1003,2611,1,14
1003,2611,2,88
1003,2611,3,0
1003,2611,4,82
1003,2611,5,2
1003,2611,6,0
1003,2612,1,5
1003,2612,2,36
1003,2612,3,0
1003,2612,4,33
1003,2612,5,0
1003,2612,6,0
1003,2613,1,27
1003,2613,2,173
1003,2613,3,0
1003,2613,4,162
1003,2613,5,3
1003,2613,6,0
1003,2614,1,12
1003,2614,2,80
1003,2614,3,0
1003,2614,4,75
1003,2614,5,1
1003,2614,6,0
1003,2616,1,0
1003,2616,2,0
1003,2616,3,0
1003,2616,4,0
1003,2616,5,0
1003,2616,6,0
1003,2622,1,0
1003,2622,2,4
1003,2622,3,0
1003,2622,4,4
1003,2622,5,0
1003,2622,6,0
1003,2623,1,0
1003,2623,2,1
1003,2623,3,0
1003,2623,4,1
1003,2623,5,0
1003,2623,6,0
1003,2624,1,2
1003,2624,2,15
1003,2624,3,0
1003,2624,4,14
1003,2624,5,0
1003,2624,6,0
1003,2625,1,8
1003,2625,2,52
1003,2625,3,0
1003,2625,4,48
1003,2625,5,1
1003,2625,6,0
1003,2626,1,0
1003,2626,2,0
1003,2626,3,0
1003,2626,4,0
1003,2626,5,0
1003,2626,6,0
1003,2627,1,0
1003,2627,2,3
1003,2627,3,0
1003,2627,4,2
1003,2627,5,0
1003,2627,6,0
1003,2628,1,0
1003,2628,2,3
1003,2628,3,0
1003,2628,4,2
1003,2628,5,0
1003,2628,6,0
1003,2629,1,0
1003,2629,2,0
1003,2629,3,0
1003,2629,4,0
1003,2629,5,0
1003,2629,6,0
1003,3000,1,1
1003,3000,2,9
1003,3000,3,0
1003,3000,4,8
1003,3000,5,0
1003,3000,6,0
1004,1001,1,0
1004,1001,2,4
1004,1001,3,0
1004,1001,4,4
1004,1001,5,0
1004,1001,6,0
1004,1002,1,0
1004,1002,2,1
1004,1002,3,0
1004,1002,4,1
1004,1002,5,0
1004,1002,6,0
1004,1003,1,17
1004,1003,2,109
1004,1003,3,0
1004,1003,4,101
1004,1003,5,2
1004,1003,6,0
1004,1004,1,0
1004,1004,2,0
1004,1004,3,0
1004,1004,4,0
1004,1004,5,0
1004,1004,6,0
1004,1005,1,0
1004,1005,2,1
1004,1005,3,0
1004,1005,4,1
1004,1005,5,0
1004,1005,6,0
1004,1006,1,0
1004,1006,2,0
1004,1006,3,0
1004,1006,4,0
1004,1006,5,0
1004,1006,6,0
1004,1007,1,0
1004,1007,2,0
1004,1007,3,0
1004,1007,4,0
1004,1007,5,0
1004,1007,6,0
1004,2611,1,2
1004,2611,2,15
1004,2611,3,0
1004,2611,4,14
1004,2611,5,0
1004,2611,6,0
1004,2612,1,0
1004,2612,2,3
1004,2612,3,0
1004,2612,4,2
1004,2612,5,0
1004,2612,6,0
1004,2613,1,5
1004,2613,2,34
1004,2613,3,0
1004,2613,4,32
1004,2613,5,0
1004,2613,6,0
1004,2614,1,7
1004,2614,2,47
1004,2614,3,0
1004,2614,4,44
1004,2614,5,1
1004,2614,6,0
1004,2616,1,0
1004,2616,2,0
1004,2616,3,0
1004,2616,4,0
1004,2616,5,0
1004,2616,6,0
1004,2622,1,5
1004,2622,2,36
1004,2622,3,0
1004,2622,4,33
1004,2622,5,0
1004,2622,6,0
1004,2623,1,0
1004,2623,2,3
1004,2623,3,0
1004,2623,4,2
1004,2623,5,0
1004,2623,6,0
1004,2624,1,7
1004,2624,2,47
1004,2624,3,0
1004,2624,4,44
1004,2624,5,1
1004,2624,6,0
1004,2625,1,48
1004,2625,2,302
1004,2625,3,0
1004,2625,4,281
1004,2625,5,6
1004,2625,6,0
1004,2626,1,0
1004,2626,2,3
1004,2626,3,0
1004,2626,4,2
1004,2626,5,0
1004,2626,6,0
1004,2627,1,1
1004,2627,2,9
1004,2627,3,0
1004,2627,4,8
1004,2627,5,0
1004,2627,6,0
1004,2628,1,0
1004,2628,2,3
1004,2628,3,0
1004,2628,4,2
1004,2628,5,0
1004,2628,6,0
1004,2629,1,0
1004,2629,2,0
1004,2629,3,0
1004,2629,4,0
1004,2629,5,0
1004,2629,6,0
1004,3000,1,0
1004,3000,2,4
1004,3000,3,0
1004,3000,4,4
1004,3000,5,0
1004,3000,6,0
1005,1001,1,1
1005,1001,2,9
1005,1001,3,0
1005,1001,4,8
1005,1001,5,0
1005,1001,6,0
1005,1002,1,0
1005,1002,2,0
1005,1002,3,0
1005,1002,4,0
1005,1002,5,0
1005,1002,6,0
1005,1003,1,0
1005,1003,2,1
1005,1003,3,0
1005,1003,4,1
1005,1003,5,0
1005,1003,6,0
1005,1004,1,0
1005,1004,2,3
1005,1004,3,0
1005,1004,4,2
1005,1004,5,0
1005,1004,6,0
1005,1005,1,0
1005,1005,2,0
1005,1005,3,0
1005,1005,4,0
1005,1005,5,0
1005,1005,6,0
1005,1006,1,0
1005,1006,2,0
1005,1006,3,0
1005,1006,4,0
1005,1006,5,0
1005,1006,6,0
1005,1007,1,4
1005,1007,2,28
1005,1007,3,0
1005,1007,4,26
1005,1007,5,0
1005,1007,6,0
1005,2611,1,21
1005,2611,2,131
1005,2611,3,0
1005,2611,4,122
1005,2611,5,3
1005,2611,6,0
1005,2612,1,9
1005,2612,2,60
1005,2612,3,0
1005,2612,4,56
1005,2612,5,1
1005,2612,6,0
1005,2613,1,20
1005,2613,2,128
1005,2613,3,0
1005,2613,4,119
1005,2613,5,2
1005,2613,6,0
1005,2614,1,2
1005,2614,2,14
1005,2614,3,0
1005,2614,4,13
1005,2614,5,0
1005,2614,6,0
1005,2616,1,0
1005,2616,2,0
1005,2616,3,0
1005,2616,4,0
1005,2616,5,0
1005,2616,6,0
1005,2622,1,75
1005,2622,2,469
1005,2622,3,0
1005,2622,4,438
1005,2622,5,10
1005,2622,6,0
1005,2623,1,215
1005,2623,2,1342
1005,2623,3,0
1005,2623,4,1252
1005,2623,5,30
1005,2623,6,0
1005,2624,1,89
1005,2624,2,555
1005,2624,3,0
1005,2624,4,517
1005,2624,5,12
1005,2624,6,0
1005,2625,1,38
1005,2625,2,241
1005,2625,3,0
1005,2625,4,225
1005,2625,5,5
1005,2625,6,0
1005,2626,1,24
1005,2626,2,151
1005,2626,3,0
1005,2626,4,141
1005,2626,5,3
1005,2626,6,0
1005,2627,1,204
1005,2627,2,1271
1005,2627,3,0
1005,2627,4,1185
1005,2627,5,29
1005,2627,6,0
1005,2628,1,183
1005,2628,2,1140
1005,2628,3,0
1005,2628,4,1063
1005,2628,5,26
1005,2628,6,0
1005,2629,1,683
1005,2629,2,4251
1005,2629,3,0
1005,2629,4,3965
1005,2629,5,97
1005,2629,6,0
1005,3000,1,5
1005,3000,2,33
1005,3000,3,0
1005,3000,4,30
1005,3000,5,0
1005,3000,6,0
1007,1001,1,3
1007,1001,2,22
1007,1001,3,0
1007,1001,4,20
1007,1001,5,0
1007,1001,6,0
1007,1002,1,0
1007,1002,2,0
1007,1002,3,0
1007,1002,4,0
1007,1002,5,0
1007,1002,6,0
1007,1003,1,0
1007,1003,2,1
1007,1003,3,0
1007,1003,4,1
1007,1003,5,0
1007,1003,6,0
1007,1004,1,0
1007,1004,2,0
1007,1004,3,0
1007,1004,4,0
1007,1004,5,0
1007,1004,6,0
1007,1005,1,7
1007,1005,2,45
1007,1005,3,0
1007,1005,4,42
1007,1005,5,1
1007,1005,6,0
1007,1006,1,0
1007,1006,2,0
1007,1006,3,0
1007,1006,4,0
1007,1006,5,0
1007,1006,6,0
1007,1007,1,0
1007,1007,2,0
1007,1007,3,0
1007,1007,4,0
1007,1007,5,0
1007,1007,6,0
1007,2611,1,18
1007,2611,2,115
1007,2611,3,0
1007,2611,4,107
1007,2611,5,2
1007,2611,6,0
1007,2612,1,8
1007,2612,2,52
1007,2612,3,0
1007,2612,4,48
1007,2612,5,1
1007,2612,6,0
1007,2613,1,4
1007,2613,2,30
1007,2613,3,0
1007,2613,4,28
1007,2613,5,0
1007,2613,6,0
1007,2614,1,0
1007,2614,2,4
1007,2614,3,0
1007,2614,4,4
1007,2614,5,0
1007,2614,6,0
1007,2616,1,0
1007,2616,2,0
1007,2616,3,0
1007,2616,4,0
1007,2616,5,0
1007,2616,6,0
1007,2622,1,0
1007,2622,2,1
1007,2622,3,0
1007,2622,4,1
1007,2622,5,0
1007,2622,6,0
1007,2623,1,0
1007,2623,2,4
1007,2623,3,0
1007,2623,4,4
1007,2623,5,0
1007,2623,6,0
1007,2624,1,7
1007,2624,2,45
1007,2624,3,0
1007,2624,4,42
1007,2624,5,1
1007,2624,6,0
1007,2625,1,3
1007,2625,2,20
1007,2625,3,0
1007,2625,4,19
1007,2625,5,0
